14:09:15.269 INFO  [d.f.a.osm.OsmMap] [] - Loading file maps/Altona-Wedel.osm
14:09:15.659 INFO  [d.f.a.osm.OsmMap] [] - Initializing
14:09:15.675 INFO  [d.f.a.osm.OsmMap] [] - Parsing nodes
14:09:16.002 INFO  [d.f.a.osm.OsmMap] [] - 7983 nodes parsed in 265 milliseconds
14:09:16.033 INFO  [d.f.a.osm.OsmMap] [] - Parsing ways
14:09:18.186 INFO  [d.f.a.osm.OsmMap] [] - 1914 ways parsed in 2059 milliseconds
14:09:18.202 INFO  [d.f.a.osm.OsmMap] [] - Computing node ways mapping
14:09:18.685 INFO  [d.f.a.osm.OsmMap] [] - Node ways mapping with 7983 elements computed, took 343 ms
14:09:18.732 INFO  [d.f.a.d.DijkstraService] [akka://AntScout/user/antScout/dijkstra] - Initialized
14:09:18.841 INFO  [d.f.a.antnet.AntMap] [] - Preparing
14:09:18.966 INFO  [d.f.a.antnet.AntMap] [] - Computing ant ways data
14:09:19.684 INFO  [d.f.a.antnet.AntMap] [] - 208 ant ways data computed, took 686 ms
14:09:19.699 INFO  [d.f.a.antnet.AntMap] [] - Computing nodes
14:09:19.731 INFO  [d.f.a.antnet.AntMap] [] - 144 nodes computed
14:09:19.777 INFO  [d.f.a.a.AntNodeSupervisor] [akka://AntScout/user/antScout/antNode] - Initializing
14:09:19.933 INFO  [d.f.a.a.AntNodeSupervisor] [akka://AntScout/user/antScout/antNode] - Initialized
14:09:19.996 INFO  [d.f.a.antnet.AntMap] [] - Computing ant ways
14:09:20.401 INFO  [d.f.a.antnet.AntMap] [] - Ant ways computed
14:09:20.448 INFO  [d.f.a.antnet.AntMap] [] - Computing incoming and outgoing ways
14:09:20.542 INFO  [d.f.a.antnet.AntMap] [] - Incoming and outgoing ways computed
14:09:20.557 INFO  [d.f.a.antnet.AntMap] [] - Computing sources and destinations
14:09:20.604 INFO  [d.f.a.antnet.AntMap] [] - 140 sources and 140 destinations computed, took 16 ms
14:09:20.698 INFO  [d.f.a.antnet.JamGen] [akka://AntScout/user/antScout/jamgen] - Initialized
14:09:21.681 WARN  [d.f.a.c.Statistics] [] - Unknown message: CometName(statistics)
14:09:21.977 WARN  [d.f.a.c.UserInterface] [] - Unknown message: CometName(userInterface)
14:09:30.045 INFO  [d.f.a.antnet.JamGen] [akka://AntScout/user/antScout/jamgen] - Stauerzeugung - Zufall: Geschwindigkeit von 12.000000000000002 Kilometer pro Stunde für Knoten 44
14:09:30.544 INFO  [d.f.a.antnet.JamGen] [akka://AntScout/user/antScout/jamgen] - Stauerzeugung - Zufall: Geschwindigkeit von 25.0 Kilometer pro Stunde für Knoten 42
14:09:31.152 INFO  [d.f.a.antnet.JamGen] [akka://AntScout/user/antScout/jamgen] - Stauerzeugung - Zufall: Geschwindigkeit von 20.000000000000004 Kilometer pro Stunde für Knoten 84
14:09:31.870 INFO  [d.f.a.antnet.JamGen] [akka://AntScout/user/antScout/jamgen] - Stauerzeugung - Zufall: Geschwindigkeit von 35.00000000000001 Kilometer pro Stunde für Knoten 156
14:09:32.353 INFO  [d.f.a.antnet.JamGen] [akka://AntScout/user/antScout/jamgen] - Stauerzeugung - Zufall: Geschwindigkeit von 61.95028269117912 Kilometer pro Stunde für Knoten 171
14:09:32.946 INFO  [d.f.a.antnet.JamGen] [akka://AntScout/user/antScout/jamgen] - Stauerzeugung - Zufall: Geschwindigkeit von 40.00000000000001 Kilometer pro Stunde für Knoten 46
14:09:33.555 INFO  [d.f.a.antnet.JamGen] [akka://AntScout/user/antScout/jamgen] - Stauerzeugung - Zufall: Geschwindigkeit von 41.99990400000001 Kilometer pro Stunde für Knoten 145
14:09:34.147 INFO  [d.f.a.antnet.JamGen] [akka://AntScout/user/antScout/jamgen] - Stauerzeugung - Zufall: Geschwindigkeit von 25.0 Kilometer pro Stunde für Knoten 3
14:09:34.740 INFO  [d.f.a.antnet.JamGen] [akka://AntScout/user/antScout/jamgen] - Stauerzeugung - Zufall: Geschwindigkeit von 12.0 Kilometer pro Stunde für Knoten 191
14:09:35.349 INFO  [d.f.a.antnet.JamGen] [akka://AntScout/user/antScout/jamgen] - Stauerzeugung - Zufall: Geschwindigkeit von 10.000000000000002 Kilometer pro Stunde für Knoten 202
14:09:35.941 INFO  [d.f.a.antnet.JamGen] [akka://AntScout/user/antScout/jamgen] - Stauerzeugung - Zufall: Geschwindigkeit von 27.089571892064637 Kilometer pro Stunde für Knoten 186
