00:33:49.104 INFO  [d.f.a.osm.OsmMap] [] - Loading file maps/Altona-Kreis.osm
00:33:49.167 INFO  [d.f.a.osm.OsmMap] [] - Initializing
00:33:49.182 INFO  [d.f.a.osm.OsmMap] [] - Parsing nodes
00:33:49.182 INFO  [d.f.a.osm.OsmMap] [] - 230 nodes parsed in 0 milliseconds
00:33:49.198 INFO  [d.f.a.osm.OsmMap] [] - Parsing ways
00:33:49.213 WARN  [d.f.a.osm.OsmWay] [] - Way 33891761: unknown max speed "5 mph"
00:33:49.213 WARN  [d.f.a.osm.OsmWay] [] - Way 33891763: unknown max speed "5 mph"
00:33:49.229 INFO  [d.f.a.osm.OsmMap] [] - 71 ways parsed in 31 milliseconds
00:33:49.229 INFO  [d.f.a.osm.OsmMap] [] - Computing node ways mapping
00:33:49.291 INFO  [d.f.a.osm.OsmMap] [] - Node ways mapping with 230 elements computed, took 62 ms
00:33:49.291 INFO  [d.f.a.d.DijkstraService] [akka://AntScout/user/antScout/dijkstra] - Initialized
00:33:49.291 INFO  [d.f.a.antnet.AntMap] [] - Preparing
00:33:49.307 INFO  [d.f.a.antnet.AntMap] [] - Computing ant ways data
00:33:49.323 INFO  [d.f.a.antnet.AntMap] [] - 17 ant ways data computed, took 16 ms
00:33:49.323 INFO  [d.f.a.antnet.AntMap] [] - Computing nodes
00:33:49.323 INFO  [d.f.a.antnet.AntMap] [] - 14 nodes computed
00:33:49.323 INFO  [d.f.a.a.AntNodeSupervisor] [akka://AntScout/user/antScout/antNode] - Initializing
00:33:49.323 INFO  [d.f.a.a.AntNodeSupervisor] [akka://AntScout/user/antScout/antNode] - Initialized
00:33:49.338 INFO  [d.f.a.antnet.AntMap] [] - Computing ant ways
00:33:49.354 INFO  [d.f.a.antnet.AntMap] [] - Ant ways computed
00:33:49.354 INFO  [d.f.a.antnet.AntMap] [] - Computing incoming and outgoing ways
00:33:49.354 INFO  [d.f.a.antnet.AntMap] [] - Incoming and outgoing ways computed
00:33:49.354 INFO  [d.f.a.antnet.AntMap] [] - Computing sources and destinations
00:33:49.354 INFO  [d.f.a.antnet.AntMap] [] - 12 sources and 12 destinations computed, took 0 ms
00:33:49.369 INFO  [d.f.a.antnet.JamGen] [akka://AntScout/user/antScout/jamgen] - Initialized
00:33:52.320 WARN  [d.f.a.c.Statistics] [] - Unknown message: CometName(statistics)
00:33:52.335 WARN  [d.f.a.c.UserInterface] [] - Unknown message: CometName(userInterface)
00:33:57.521 INFO  [d.f.a.rest.Rest] [] - Neue Endpunkte: Dijsktra ausführen - Pfad suchen von Knoten 355550094 nach Knoten 1505625032
00:33:57.537 INFO  [d.f.a.antnet.JamGen] [akka://AntScout/user/antScout/jamgen] - Lines - SetUp: non-empty iterator
00:33:57.552 INFO  [d.f.a.rest.Rest] [] - Neue Endpunkte: Dijsktra erfolgreich ausgeführt - Pfad gefunden von Knoten 355550094 nach Knoten 1505625032: MutableList(#15 #355550094 -> #1320917075, #6 #1320917075 -> #230536443, #10 #230536443 -> #1505625143, #12 #1505625143 -> #52699805, #4 #52699805 - #1505625024, #13 #1505625032 - #1505625024)
00:33:57.552 INFO  [d.f.a.rest.Rest] [] - Neue Endpunkte: neue Pfadlänge: 863.5749385738904 Meter, neue Fahrtzeit: 1.0362899262886685 Minuten
00:33:57.584 INFO  [d.f.a.antnet.JamGen] [akka://AntScout/user/antScout/jamgen] - Aktueller Pfad: Länge - 863.5749385738904 Meter, Fahrtzeit - 1.0362899262886685 Minuten
00:33:57.584 INFO  [d.f.a.antnet.JamGen] [akka://AntScout/user/antScout/jamgen] - Lines - ReadJam: non-empty iterator
00:33:57.584 INFO  [d.f.a.antnet.JamGen] [akka://AntScout/user/antScout/jamgen] - Stauerzeugung - Laden: Neue Geschwindigkeit von 25.0 Kilometer pro Stunde für Knoten 12 festgelegt!
00:33:57.786 INFO  [d.f.a.rest.Rest] [] - Wegänderung: Weg 12 wurde geändert, neue Geschwindigkeit ist 25.0 Kilometer pro Stunde
00:33:57.786 INFO  [d.f.a.rest.Rest] [] - Wegänderung: Pfad gefunden: MutableList(#15 #355550094 -> #1320917075, #6 #1320917075 -> #230536443, #10 #230536443 -> #1505625143, #12 #1505625143 -> #52699805, #4 #52699805 - #1505625024, #13 #1505625032 - #1505625024)
00:33:57.786 INFO  [d.f.a.rest.Rest] [] - Wegänderung: Pfad muss angepasst werden
00:33:57.786 INFO  [d.f.a.rest.Rest] [] - Wegänderung: Pfad erfolgreich angepasst
00:33:57.786 INFO  [d.f.a.rest.Rest] [] - Wegänderung: neue Pfadlänge: 863.5749385738904 Meter, neue Fahrtzeit: 1.4437305282975748 Minuten
00:33:57.802 INFO  [d.f.a.rest.Rest] [] - Wegänderung: Dijsktra ausgeführt - Pfad gefunden von Knoten 355550094 nach Knoten 1505625032: MutableList(#1 #1570902445 -> #355550094, #16 #1505625024 - #1570902445, #13 #1505625032 - #1505625024)
00:33:57.802 INFO  [d.f.a.rest.Rest] [] - Wegänderung: neue Pfadlänge: 1122.3908849322854 Meter, neue Fahrtzeit: 1.3468690619187427 Minuten
00:33:57.880 INFO  [d.f.a.antnet.JamGen] [akka://AntScout/user/antScout/jamgen] - Aktueller Pfad: Länge - 1122.3908849322854 Meter, Fahrtzeit - 1.3468690619187427 Minuten
00:33:58.176 INFO  [d.f.a.antnet.JamGen] [akka://AntScout/user/antScout/jamgen] - Aktueller Pfad: Länge - 1122.3908849322854 Meter, Fahrtzeit - 1.3468690619187427 Minuten
00:33:58.473 INFO  [d.f.a.antnet.JamGen] [akka://AntScout/user/antScout/jamgen] - Aktueller Pfad: Länge - 1122.3908849322854 Meter, Fahrtzeit - 1.3468690619187427 Minuten
00:33:58.676 INFO  [d.f.a.antnet.JamGen] [akka://AntScout/user/antScout/jamgen] - Lines - ReadJam: non-empty iterator
00:33:58.676 INFO  [d.f.a.antnet.JamGen] [akka://AntScout/user/antScout/jamgen] - Stauerzeugung - Laden: Neue Geschwindigkeit von 25.0 Kilometer pro Stunde für Knoten 9 festgelegt!
00:33:58.691 INFO  [d.f.a.rest.Rest] [] - Wegänderung: Weg 9 wurde geändert, neue Geschwindigkeit ist 25.0 Kilometer pro Stunde
00:33:58.691 INFO  [d.f.a.rest.Rest] [] - Wegänderung: Pfad gefunden: MutableList(#1 #1570902445 -> #355550094, #16 #1505625024 - #1570902445, #13 #1505625032 - #1505625024)
00:33:58.707 INFO  [d.f.a.rest.Rest] [] - Wegänderung: Dijsktra ausgeführt - Pfad gefunden von Knoten 355550094 nach Knoten 1505625032: MutableList(#1 #1570902445 -> #355550094, #16 #1505625024 - #1570902445, #13 #1505625032 - #1505625024)
00:33:58.707 INFO  [d.f.a.rest.Rest] [] - Wegänderung: neue Pfadlänge: 1122.3908849322854 Meter, neue Fahrtzeit: 1.3468690619187427 Minuten
00:33:58.785 INFO  [d.f.a.antnet.JamGen] [akka://AntScout/user/antScout/jamgen] - Aktueller Pfad: Länge - 1122.3908849322854 Meter, Fahrtzeit - 1.3468690619187427 Minuten
00:33:59.081 INFO  [d.f.a.antnet.JamGen] [akka://AntScout/user/antScout/jamgen] - Aktueller Pfad: Länge - 1122.3908849322854 Meter, Fahrtzeit - 1.3468690619187427 Minuten
00:33:59.378 INFO  [d.f.a.antnet.JamGen] [akka://AntScout/user/antScout/jamgen] - Aktueller Pfad: Länge - 1122.3908849322854 Meter, Fahrtzeit - 1.3468690619187427 Minuten
00:33:59.674 INFO  [d.f.a.antnet.JamGen] [akka://AntScout/user/antScout/jamgen] - Aktueller Pfad: Länge - 1122.3908849322854 Meter, Fahrtzeit - 1.3468690619187427 Minuten
00:33:59.783 INFO  [d.f.a.antnet.JamGen] [akka://AntScout/user/antScout/jamgen] - Lines - ReadJam: non-empty iterator
00:33:59.783 INFO  [d.f.a.antnet.JamGen] [akka://AntScout/user/antScout/jamgen] - Stauerzeugung - Laden: Neue Geschwindigkeit von 25.0 Kilometer pro Stunde für Knoten 1 festgelegt!
00:33:59.799 INFO  [d.f.a.rest.Rest] [] - Wegänderung: Weg 1 wurde geändert, neue Geschwindigkeit ist 25.0 Kilometer pro Stunde
00:33:59.799 INFO  [d.f.a.rest.Rest] [] - Wegänderung: Pfad gefunden: MutableList(#1 #1570902445 -> #355550094, #16 #1505625024 - #1570902445, #13 #1505625032 - #1505625024)
00:33:59.799 INFO  [d.f.a.rest.Rest] [] - Wegänderung: Pfad muss angepasst werden
00:33:59.799 INFO  [d.f.a.rest.Rest] [] - Wegänderung: Pfad erfolgreich angepasst
00:33:59.799 INFO  [d.f.a.rest.Rest] [] - Wegänderung: neue Pfadlänge: 1122.3908849322854 Meter, neue Fahrtzeit: 1.66940973536941 Minuten
00:33:59.814 INFO  [d.f.a.rest.Rest] [] - Wegänderung: Dijsktra ausgeführt - Pfad gefunden von Knoten 355550094 nach Knoten 1505625032: MutableList(#15 #355550094 -> #1320917075, #6 #1320917075 -> #230536443, #10 #230536443 -> #1505625143, #12 #1505625143 -> #52699805, #4 #52699805 - #1505625024, #13 #1505625032 - #1505625024)
00:33:59.814 INFO  [d.f.a.rest.Rest] [] - Wegänderung: neue Pfadlänge: 863.5749385738904 Meter, neue Fahrtzeit: 1.4437305282975748 Minuten
00:33:59.970 INFO  [d.f.a.antnet.JamGen] [akka://AntScout/user/antScout/jamgen] - Aktueller Pfad: Länge - 863.5749385738904 Meter, Fahrtzeit - 1.4437305282975748 Minuten
00:34:00.282 INFO  [d.f.a.antnet.JamGen] [akka://AntScout/user/antScout/jamgen] - Aktueller Pfad: Länge - 863.5749385738904 Meter, Fahrtzeit - 1.4437305282975748 Minuten
00:34:00.579 INFO  [d.f.a.antnet.JamGen] [akka://AntScout/user/antScout/jamgen] - Aktueller Pfad: Länge - 863.5749385738904 Meter, Fahrtzeit - 1.4437305282975748 Minuten
00:34:00.875 INFO  [d.f.a.antnet.JamGen] [akka://AntScout/user/antScout/jamgen] - Lines - ReadJam: non-empty iterator
00:34:00.875 INFO  [d.f.a.antnet.JamGen] [akka://AntScout/user/antScout/jamgen] - Stauerzeugung - Laden: Neue Geschwindigkeit von 25.0 Kilometer pro Stunde für Knoten 13 festgelegt!
