17:43:53.699 INFO  [d.f.a.osm.OsmMap] [] - Loading file maps/Altona-Wedel.osm
17:43:53.964 INFO  [d.f.a.osm.OsmMap] [] - Initializing
17:43:53.964 INFO  [d.f.a.osm.OsmMap] [] - Parsing nodes
17:43:54.073 INFO  [d.f.a.osm.OsmMap] [] - 7983 nodes parsed in 93 milliseconds
17:43:54.073 INFO  [d.f.a.osm.OsmMap] [] - Parsing ways
17:43:56.320 INFO  [d.f.a.osm.OsmMap] [] - 1914 ways parsed in 2200 milliseconds
17:43:56.320 INFO  [d.f.a.osm.OsmMap] [] - Computing node ways mapping
17:43:56.569 INFO  [d.f.a.osm.OsmMap] [] - Node ways mapping with 7983 elements computed, took 203 ms
17:43:56.569 INFO  [d.f.a.d.DijkstraService] [akka://AntScout/user/antScout/dijkstra] - Initialized
17:43:56.569 INFO  [d.f.a.antnet.AntMap] [] - Preparing
17:43:56.616 INFO  [d.f.a.antnet.AntMap] [] - Computing ant ways data
17:43:56.741 INFO  [d.f.a.antnet.AntMap] [] - 208 ant ways data computed, took 109 ms
17:43:56.741 INFO  [d.f.a.antnet.AntMap] [] - Computing nodes
17:43:56.741 INFO  [d.f.a.antnet.AntMap] [] - 144 nodes computed
17:43:56.741 INFO  [d.f.a.antnet.JamGen] [akka://AntScout/user/antScout/jamgen] - Initialized
17:43:56.741 INFO  [d.f.a.a.AntNodeSupervisor] [akka://AntScout/user/antScout/antNode] - Initializing
17:43:56.756 INFO  [d.f.a.a.AntNodeSupervisor] [akka://AntScout/user/antScout/antNode] - Initialized
17:43:56.772 INFO  [d.f.a.antnet.AntMap] [] - Computing ant ways
17:43:56.834 INFO  [d.f.a.antnet.AntMap] [] - Ant ways computed
17:43:56.834 INFO  [d.f.a.antnet.AntMap] [] - Computing incoming and outgoing ways
17:43:56.834 WARN  [d.f.a.c.Statistics] [] - Unknown message: CometName(statistics)
17:43:56.850 INFO  [d.f.a.antnet.AntMap] [] - Incoming and outgoing ways computed
17:43:56.850 INFO  [d.f.a.antnet.AntMap] [] - Computing sources and destinations
17:43:56.850 INFO  [d.f.a.antnet.AntMap] [] - 140 sources and 140 destinations computed, took 0 ms
17:43:56.866 WARN  [d.f.a.c.UserInterface] [] - Unknown message: CometName(userInterface)
17:43:56.975 INFO  [d.f.a.antnet.JamGen] [akka://AntScout/user/antScout/jamgen] - --------------------------------------------------------------------------------------------------------------------------------------------
17:43:56.975 INFO  [d.f.a.antnet.JamGen] [akka://AntScout/user/antScout/jamgen] - Geschwindigkeit von Weg 155 beträgt 6.944444444444445 nach Anwendung des Staufaktors 0.5,
17:43:56.993 INFO  [d.f.a.antnet.JamGen] [akka://AntScout/user/antScout/jamgen] - Pfad von empty nach empty
17:43:57.052 INFO  [d.f.a.antnet.JamGen] [akka://AntScout/user/antScout/jamgen] - --------------------------------------------------------------------------------------------------------------------------------------------
17:43:57.052 INFO  [d.f.a.antnet.JamGen] [akka://AntScout/user/antScout/jamgen] - Geschwindigkeit von Weg 191 beträgt 27.77777777777778 nach Anwendung des Staufaktors 2.0,
17:43:57.052 INFO  [d.f.a.antnet.JamGen] [akka://AntScout/user/antScout/jamgen] - Pfad von empty nach empty
17:43:57.161 INFO  [d.f.a.antnet.JamGen] [akka://AntScout/user/antScout/jamgen] - --------------------------------------------------------------------------------------------------------------------------------------------
17:43:57.161 INFO  [d.f.a.antnet.JamGen] [akka://AntScout/user/antScout/jamgen] - Geschwindigkeit von Weg 60 beträgt 6.94445 nach Anwendung des Staufaktors 0.5,
17:43:57.161 INFO  [d.f.a.antnet.JamGen] [akka://AntScout/user/antScout/jamgen] - Pfad von empty nach empty
17:43:57.255 INFO  [d.f.a.antnet.JamGen] [akka://AntScout/user/antScout/jamgen] - --------------------------------------------------------------------------------------------------------------------------------------------
17:43:57.255 INFO  [d.f.a.antnet.JamGen] [akka://AntScout/user/antScout/jamgen] - Geschwindigkeit von Weg 159 beträgt 6.944444444444445 nach Anwendung des Staufaktors 0.5,
17:43:57.255 INFO  [d.f.a.antnet.JamGen] [akka://AntScout/user/antScout/jamgen] - Pfad von empty nach empty
17:43:57.349 INFO  [d.f.a.antnet.JamGen] [akka://AntScout/user/antScout/jamgen] - --------------------------------------------------------------------------------------------------------------------------------------------
17:43:57.349 INFO  [d.f.a.antnet.JamGen] [akka://AntScout/user/antScout/jamgen] - Geschwindigkeit von Weg 71 beträgt 27.777777777777775 nach Anwendung des Staufaktors 2.0,
17:43:57.349 INFO  [d.f.a.antnet.JamGen] [akka://AntScout/user/antScout/jamgen] - Pfad von empty nach empty
17:43:57.458 INFO  [d.f.a.antnet.JamGen] [akka://AntScout/user/antScout/jamgen] - --------------------------------------------------------------------------------------------------------------------------------------------
17:43:57.458 INFO  [d.f.a.antnet.JamGen] [akka://AntScout/user/antScout/jamgen] - Geschwindigkeit von Weg 73 beträgt 16.666666666666668 nach Anwendung des Staufaktors 2.0,
17:43:57.458 INFO  [d.f.a.antnet.JamGen] [akka://AntScout/user/antScout/jamgen] - Pfad von empty nach empty
17:43:57.551 INFO  [d.f.a.antnet.JamGen] [akka://AntScout/user/antScout/jamgen] - --------------------------------------------------------------------------------------------------------------------------------------------
17:43:57.551 INFO  [d.f.a.antnet.JamGen] [akka://AntScout/user/antScout/jamgen] - Geschwindigkeit von Weg 184 beträgt 6.944444444444445 nach Anwendung des Staufaktors 0.5,
17:43:57.551 INFO  [d.f.a.antnet.JamGen] [akka://AntScout/user/antScout/jamgen] - Pfad von empty nach empty
17:43:57.661 INFO  [d.f.a.antnet.JamGen] [akka://AntScout/user/antScout/jamgen] - --------------------------------------------------------------------------------------------------------------------------------------------
17:43:57.661 INFO  [d.f.a.antnet.JamGen] [akka://AntScout/user/antScout/jamgen] - Geschwindigkeit von Weg 62 beträgt 6.944444444444445 nach Anwendung des Staufaktors 0.5,
17:43:57.661 INFO  [d.f.a.antnet.JamGen] [akka://AntScout/user/antScout/jamgen] - Pfad von empty nach empty
17:43:57.754 INFO  [d.f.a.antnet.JamGen] [akka://AntScout/user/antScout/jamgen] - --------------------------------------------------------------------------------------------------------------------------------------------
17:43:57.754 INFO  [d.f.a.antnet.JamGen] [akka://AntScout/user/antScout/jamgen] - Geschwindigkeit von Weg 10 beträgt 6.944444444444445 nach Anwendung des Staufaktors 0.5,
17:43:57.754 INFO  [d.f.a.antnet.JamGen] [akka://AntScout/user/antScout/jamgen] - Pfad von empty nach empty
17:43:57.863 INFO  [d.f.a.antnet.JamGen] [akka://AntScout/user/antScout/jamgen] - --------------------------------------------------------------------------------------------------------------------------------------------
17:43:57.863 INFO  [d.f.a.antnet.JamGen] [akka://AntScout/user/antScout/jamgen] - Geschwindigkeit von Weg 142 beträgt 27.77777777777778 nach Anwendung des Staufaktors 2.0,
17:43:57.863 INFO  [d.f.a.antnet.JamGen] [akka://AntScout/user/antScout/jamgen] - Pfad von empty nach empty
17:43:57.957 INFO  [d.f.a.antnet.JamGen] [akka://AntScout/user/antScout/jamgen] - --------------------------------------------------------------------------------------------------------------------------------------------
